compendium_record_id,thermoml_record_id,molecule_id,source_doi,lineage_id,relation,compendium_T_K,thermoml_T_K,compendium_H_kJ_mol,thermoml_H_kJ_mol,numeric_values_merged,reason
rdr250199#csvline7280,10.1021/je025634v#d4#p1#r1,mol_a78531f40bfa734a,10.1021/je025634v,lineage_f4bc4084aeae7a33,possible_same_measurement_different_temperature,298,303.52,49.3,48.82,False,preserve source-specific T and uncertainty; do not count twice
rdr250199#csvline8559,10.1021/je025634v#d1#p1#r1,mol_ad64c2cfe3c93488,10.1021/je025634v,lineage_e315ce2beedff1d3,possible_same_measurement_different_temperature,298,300.11,52.3,52.16,False,preserve source-specific T and uncertainty; do not count twice
rdr250199#csvline9776,10.1021/je025634v#d6#p1#r1,mol_20837b2036542f40,10.1021/je025634v,lineage_c40541f181ca9acc,possible_same_measurement_different_temperature,298,300.55,55.9,55.73,False,preserve source-specific T and uncertainty; do not count twice
rdr250199#csvline10618,10.1016/j.jct.2013.01.009#d18#p1#r1,mol_bbdd71ed3a3275f5,10.1016/j.jct.2013.01.009,lineage_67f38b5227f1d5a4,same_source_value_with_rounded_temperature,298,298.15,58.9,58.9,False,preserve source-specific T and uncertainty; do not count twice
rdr250199#csvline10840,10.1021/je025634v#d9#p1#r1,mol_65b637e94cd66c7e,10.1021/je025634v,lineage_07ea612466bfc74c,possible_same_measurement_different_temperature,298,315.57,60.1,58.72,False,preserve source-specific T and uncertainty; do not count twice
rdr250199#csvline11453,10.1021/je025634v#d12#p1#r1,mol_17a72fa1b6a75538,10.1021/je025634v,lineage_22c65d86c1a9332d,possible_same_measurement_different_temperature,298,299.54,63.7,63.6,False,preserve source-specific T and uncertainty; do not count twice
rdr250199#csvline12300,10.1021/je900093h#d3#p1#r1,mol_fc2d93121de8a8dd,10.1021/je900093h,lineage_6f91a312728e4742,same_source_value_with_rounded_temperature,305,304.79,69.9,69.9,False,preserve source-specific T and uncertainty; do not count twice
