reference_code,candidate_dois_json,doi_links_json,lookup_status,training_molecules,record_ids_json
1981SVO/CHA,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline8692"",""rdr250199#csvline8693"",""rdr250199#csvline8694"",""rdr250199#csvline8695"",""rdr250199#csvline8696""]"
1981VAR/BUL,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline7909""]"
1982BYS/MAN,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2758""]"
1983FUC/HAL,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline3769""]"
1984MAJ/SVO2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline3587"",""rdr250199#csvline3588"",""rdr250199#csvline3589"",""rdr250199#csvline3590"",""rdr250199#csvline3591""]"
1984MAJ/SVO3,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline10000"",""rdr250199#csvline10001"",""rdr250199#csvline9999""]"
1985MAJ/SVO3,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline6189"",""rdr250199#csvline6190"",""rdr250199#csvline6191"",""rdr250199#csvline6192""]"
1985MAR/MAN,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline7841""]"
1985WOR/YER,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline6023"",""rdr250199#csvline6024"",""rdr250199#csvline6025"",""rdr250199#csvline6026""]"
1986MIC/JOS,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline3586""]"
1986NIL/WAD,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline8888""]"
1986YER/WOR,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline383"",""rdr250199#csvline384"",""rdr250199#csvline385""]"
1987ATI/SAI,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline10686""]"
1988BAS/NIL,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2017""]"
1989AN/ZHE,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline4838""]"
1989AN/ZHE2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline4838""]"
1989VIN/WOR,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline1124"",""rdr250199#csvline1125"",""rdr250199#csvline1126"",""rdr250199#csvline1127"",""rdr250199#csvline1128""]"
1990AN/HE,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2646""]"
1990KNA/SAB,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline6315""]"
1990LEI/PIL2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2465""]"
1991ROZ/SAF,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline6127""]"
1991SHA/MIS,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline9114""]"
1992HE/AN,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2644""]"
1992KOZ/KAB,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5511""]"
1992PAP/PIM,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline4606""]"
1992SVO/KUB2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline888"",""rdr250199#csvline889"",""rdr250199#csvline890"",""rdr250199#csvline891"",""rdr250199#csvline892""]"
1996VER/BEC,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5854""]"
1999COS/EUS,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5687""]"
2000MAT/MIR,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline8386""]"
2002VAR/AIT,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline9112""]"
2002VAR/PAS,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline7767""]"
2003EUS/LOP,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline3227""]"
2003MAT/MIR,"[""10.1021/je025641j""]","[""https://doi.org/10.1021/je025641j""]",possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline7003""]"
2006RIB/CAB2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline11598""]"
2006RIB/CAB5,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5990""]"
2007RIC/BER,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline6972""]"
2008ROU/LIM,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline13458""]"
2009RIB/AMA,"[""10.1016/j.jct.2008.08.004"", ""10.1016/j.jct.2008.09.013""]","[""https://doi.org/10.1016/j.jct.2008.08.004"", ""https://doi.org/10.1016/j.jct.2008.09.013""]",possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5139""]"
2009ZAI/PAU,"[""10.1021/je900093h""]","[""https://doi.org/10.1021/je900093h""]",possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline12300""]"
2011MIR/KON,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2998""]"
2014FRE/GOM2,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline2980""]"
2014FRE/LEI,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline5983""]"
2014SIM/AGA,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline6936""]"
2015EME/PIM,[],[],possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline7133""]"
2015VER/SAZ,"[""10.1021/je500784s""]","[""https://doi.org/10.1021/je500784s""]",possible bibliographic match only; verify primary reference,1,"[""rdr250199#csvline4917"",""rdr250199#csvline4918""]"
doi:10.1016/j.jct.2008.04.010,"[""10.1016/j.jct.2008.04.010""]","[""https://doi.org/10.1016/j.jct.2008.04.010""]",archive DOI,1,"[""10.1016/j.jct.2008.04.010#d4#p1#r1""]"
doi:10.1016/j.jct.2008.08.004,"[""10.1016/j.jct.2008.08.004""]","[""https://doi.org/10.1016/j.jct.2008.08.004""]",archive DOI,1,"[""10.1016/j.jct.2008.08.004#d3#p1#r1""]"
doi:10.1016/j.jct.2019.02.001,"[""10.1016/j.jct.2019.02.001""]","[""https://doi.org/10.1016/j.jct.2019.02.001""]",archive DOI,1,"[""10.1016/j.jct.2019.02.001#d5#p1#r1"",""10.1016/j.jct.2019.02.001#d6#p1#r1""]"
doi:10.1021/je025641j,"[""10.1021/je025641j""]","[""https://doi.org/10.1021/je025641j""]",archive DOI,1,"[""10.1021/je025641j#d1#p1#r1""]"
doi:10.1021/je900093h,"[""10.1021/je900093h""]","[""https://doi.org/10.1021/je900093h""]",archive DOI,1,"[""10.1021/je900093h#d3#p1#r1""]"
2003ZAI/VER,"[""10.1021/je025634v""]","[""https://doi.org/10.1021/je025634v""]",possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline10840"",""rdr250199#csvline11453"",""rdr250199#csvline7280"",""rdr250199#csvline8559"",""rdr250199#csvline9776""]"
2004PAU/ZAI,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline10839"",""rdr250199#csvline11453"",""rdr250199#csvline7280"",""rdr250199#csvline8559"",""rdr250199#csvline9776""]"
doi:10.1021/je025634v,"[""10.1021/je025634v""]","[""https://doi.org/10.1021/je025634v""]",archive DOI,0,"[""10.1021/je025634v#d1#p1#r1"",""10.1021/je025634v#d12#p1#r1"",""10.1021/je025634v#d4#p1#r1"",""10.1021/je025634v#d6#p1#r1"",""10.1021/je025634v#d9#p1#r1""]"
1991VOR/KLY2,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline15727"",""rdr250199#csvline15778""]"
1999MO/YAN,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline10327"",""rdr250199#csvline2421""]"
2000RIB/RIB2,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline9381"",""rdr250199#csvline9383""]"
1952HUB/FIN,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline2857"",""rdr250199#csvline2858"",""rdr250199#csvline2859""]"
1962DAV/SUN,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline2854""]"
1995RIB/MAT,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline10303""]"
1998MAK/KAB,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline10367"",""rdr250199#csvline10368"",""rdr250199#csvline10369""]"
1999RIB/RIB,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline3752""]"
2007RIB/SAN,"[""10.1016/j.jct.2007.03.009""]","[""https://doi.org/10.1016/j.jct.2007.03.009""]",possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline5299""]"
2007ROU/TEM,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline5140""]"
2008RIB/FIG,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline2422""]"
2008RIB/SAN2,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline3552""]"
2009MEL/PIM,"[""10.1016/j.jct.2008.12.015""]","[""https://doi.org/10.1016/j.jct.2008.12.015""]",possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline13491""]"
2009RIB/CAB2,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline9395""]"
2012Z/NES,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline13260""]"
2013STE/FUL,"[""10.1016/j.jct.2013.01.009""]","[""https://doi.org/10.1016/j.jct.2013.01.009""]",possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline10618""]"
2014PIM/PAS,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline12551""]"
2015PAS/MIR,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline13252"",""rdr250199#csvline13253"",""rdr250199#csvline13254"",""rdr250199#csvline13255"",""rdr250199#csvline13256"",""rdr250199#csvline13257""]"
2015ZAI/PAU,"[""10.1016/j.jct.2015.07.028""]","[""https://doi.org/10.1016/j.jct.2015.07.028""]",possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline3966""]"
2021FRE/SIL,[],[],possible bibliographic match only; verify primary reference,0,"[""rdr250199#csvline16407""]"
doi:10.1016/j.jct.2008.02.004,"[""10.1016/j.jct.2008.02.004""]","[""https://doi.org/10.1016/j.jct.2008.02.004""]",archive DOI,0,"[""10.1016/j.jct.2008.02.004#d1#p1#r1""]"
doi:10.1016/j.jct.2008.12.015,"[""10.1016/j.jct.2008.12.015""]","[""https://doi.org/10.1016/j.jct.2008.12.015""]",archive DOI,0,"[""10.1016/j.jct.2008.12.015#d6#p1#r1""]"
doi:10.1016/j.jct.2013.01.009,"[""10.1016/j.jct.2013.01.009""]","[""https://doi.org/10.1016/j.jct.2013.01.009""]",archive DOI,0,"[""10.1016/j.jct.2013.01.009#d18#p1#r1""]"
doi:10.1016/j.jct.2015.07.028,"[""10.1016/j.jct.2015.07.028""]","[""https://doi.org/10.1016/j.jct.2015.07.028""]",archive DOI,0,"[""10.1016/j.jct.2015.07.028#d3#p1#r1""]"
